# source=Family 1, view=Singularity, params=baseline_3dof, exported=2026-06-23, key=|det J| floor 0.02, 46x46 grid
x,y,reachable,detJ
-0.3109,0.7951,0,
-0.3109,0.8245,0,
-0.3109,0.8538,0,
-0.3109,0.8832,0,
-0.3109,0.9125,0,
-0.3109,0.9418,0,
-0.3109,0.9712,0,
-0.3109,1.0005,0,
-0.3109,1.0299,0,
-0.3109,1.0592,0,
-0.3109,1.0886,0,
-0.3109,1.1179,0,
-0.3109,1.1473,0,
-0.3109,1.1766,0,
-0.3109,1.2060,0,
-0.3109,1.2353,0,
-0.2630,-0.0853,1,0.00940
-0.2630,-0.0560,1,0.00805
-0.2630,-0.0266,1,0.00650
-0.2630,0.0027,1,0.00474
-0.2630,0.0321,1,0.00279
-0.2630,0.0614,1,0.00066
-0.2630,0.0908,1,0.00164
-0.2630,0.1201,1,0.00406
-0.2630,0.1495,1,0.00659
-0.2630,0.1788,1,0.00920
-0.2630,0.2082,1,0.01186
-0.2630,0.2375,1,0.01454
-0.2630,0.2668,1,0.01725
-0.2630,0.2962,1,0.01996
-0.2630,0.3255,1,0.02267
-0.2630,0.3549,1,0.02539
-0.2630,0.3842,1,0.02813
-0.2630,0.4136,0,
-0.2630,0.4429,0,
-0.2630,0.4723,0,
-0.2630,0.5016,0,
-0.2630,0.5310,0,
-0.2630,0.5603,0,
-0.2630,0.5897,0,
-0.2630,0.6190,0,
-0.2630,0.6484,0,
-0.2630,0.6777,0,
-0.2630,0.7071,0,
-0.2630,0.7364,0,
-0.2630,0.7658,0,
-0.2630,0.7951,0,
-0.2630,0.8245,0,
-0.2630,0.8538,0,
-0.2630,0.8832,0,
-0.2630,0.9125,0,
-0.2630,0.9418,0,
-0.2630,0.9712,0,
-0.2630,1.0005,0,
-0.2630,1.0299,0,
-0.2630,1.0592,0,
-0.2630,1.0886,0,
-0.2630,1.1179,0,
-0.2630,1.1473,0,
-0.2630,1.1766,0,
-0.2630,1.2060,0,
-0.2630,1.2353,0,
-0.2152,-0.0853,1,0.00743
-0.2152,-0.0560,1,0.00635
-0.2152,-0.0266,1,0.00512
-0.2152,0.0027,1,0.00373
-0.2152,0.0321,1,0.00219
-0.2152,0.0614,1,0.00052
-0.2152,0.0908,1,0.00129
-0.2152,0.1201,1,0.00321
-0.2152,0.1495,1,0.00522
-0.2152,0.1788,1,0.00731
-0.2152,0.2082,1,0.00947
-0.2152,0.2375,1,0.01168
-0.2152,0.2668,1,0.01393
-0.2152,0.2962,1,0.01623
-0.2152,0.3255,1,0.01856
-0.2152,0.3549,1,0.02093
-0.2152,0.3842,1,0.02336
-0.2152,0.4136,1,0.02585
-0.2152,0.4429,1,0.02841
-0.2152,0.4723,1,0.03107
